210;PEP;Pepsico Inc;18
211;PFE;Pfizer Rep 0.5;4
212;PG;Procter & Gamble;15
213;PHG;Koninklijke Philips Electronics;5
214;PINS;Pinterest;7
215;PKS;Posco;3
216;PLTR;Palantir Technologies Ord;3
217;PM;Philip Morris Int Inc;18
218;PRIO3;Prio;2
219;PSX;Phillips 66;6
220;PYPL;Paypal Holdings Incs;8
221;QCOM;Qualcomm Inc;11
222;QQQ;Invesco Qqq S1;20
223;RACE;FERRARI NV;83
224;RBLX;Roblox Corp;2
225;RENT3;Localiza Rent a Car;2
226;RIO;Rio Tinto;8
227;RIOT;Riot Platforms;3
228;ROKU;Roku;13
229;ROST;Rost Stones Inc;4
230;RTX;Raytheon Technologies Corp;5
231;SAN;Banco Santander Ord Shs;1
232;SAP;Sap Se;6
233;SATL;Satellogic Inc;1
234;SBS;Basic Sant Cpy of the Sta Pul SBSP;1
235;SBUX;Starbucks;12
236;SCCO;Southern Copper Corp;2
237;SCHW;Charles Schwab Corp.;13
238;SDA;Suncar Technology Group Ord;2
239;SE;Sea Limited;32
240;SH;ProShares Short S&P500 ETF;8
241;SHEL;Shell Plc;2
242;SHOP;Shopify Inc;107
243;SID;Companhia Siderurgica Nacional SA;1
244;SLB;Schlumberger;3
245;SNA;Snap On;6
246;SNAP;Snap Inc;1
247;SNOW;Snowflake Inc;30
248;SONY;Sony Group Corporation;8
249;SPCE;VIRGIN GALACTIC HOLD;1
250;SPGI;S&P Global Inc;45
251;SPOT;Spotify Technology Sa;28
252;SPY;Spdr S&P 500;20
253;SQ;Square Inc;20
254;STLA;Stellantis NV;5
255;STNE;Stoneco Ltd Ord;3
256;SUZ;Suzano 1 American Depositary Shares Representing 1 Ord Shs;1
257;SWKS;Skyworks Solutions;21
258;SYY;Sysco Corp;8
259;T;AT&T DRC;3
260;TCOM;Ctrip.Com International, Ltd;2
261;TEFO;Telefonica;8
262;TEN;Tenaris Ord Shs;1
263;TGT;Target Corp;24
264;TIIAY;TIIAY;1
265;TIMB;Tim Participacaoes S.A.;1
266;TJX;TJX Companies Inc;22
267;TM;Toyota Motor;15
268;TMO;Thermo Fisher Sc Ord Shs;22
269;TMUS;T MOBILE US;33
270;TRIP;Trip Advisors;2
271;TRVV;Travelers Co;6
272;TSLA;Tesla Inc;15
273;TSM;Taiwan Semiconductor Manufacturing;9
274;TTE;TotalEnergies SA;3
275;TV;Grupo Televisa;3
276;TWLO;Twilio Inc;36
277;TXN;Texas Instrument;5
278;TXR;Ternium;4
279;UAL;United Airlines Holdings Inc;5
280;UBER;Uber Technologies Inc;2
281;UGP;Ultrapar Participacoes SA;1
282;UL;Unilever Rep 3;3
283;UNH;Unitedhealth Group Inc;33
284;UNP;Union Pacific Corp;20
285;UPST;Upstart Hldgs Inc;5
286;URBN;Urban Outfitterss;2
287;USB;US Bancorp;5
288;V;Visa Inc Ord Shs;18
289;VALE;Companhia Vale do Rio Doce;2
290;VEA;Vanguard FTSE Developed Markets ETF;10
291;VIST;Vista Energy SAB de CV;3
292;VIV;Telefônica Brasil;1
293;VOD;Vodafone Group;1
294;VRSN;Verisign Inc;6
295;VZ;Verizon Communications;4
296;WBA;Walgreens Boots Alliance Inc;3
297;WBO;Weibo Corp;6
298;WFC;Wells Fargo & Co;5
299;WMT;Wal Mart;18
300;X;United States Steel Corp;3
301;XLB;The Industrial Select Sector SPDR Fund;28
302;XLC;The Communication Services Select Sector SPDR Fund;19
303;XLE;Spdr Energy Sel;2
304;XLF;Spdr Financl Sel;2
305;XLI;The Technology Select Sector SPDR Fund;46
306;XLK;The Health Care Select Sector SPDR Fund;29
307;XLP;The Real Estate Select Sector SPDR Fund;9
308;XLRE;The Consumer Discretionary Select Sector SPDR Fund;43
309;XLV;The Consumer Staples Select Sector SPDR Fund;16
310;XLY;The Materials Select Sector SPDR Fund;18
311;XOM;Exxon Mobil;10
312;XP;Xp Inc;4
313;XROX;Xerox;1
314;YELP;Yelp Inc;2
315;YY;JOYY Inc;5
316;YZCA;Yanzhou Coal Mining;2
317;ZM;Zoom Video Communications Inc;47
